ID;Data;Localizacao;Tipo de plantio;Preco por tonelada (Dolares/tonelada);Rendimento (kilogramas por hectare);Producao (toneladas);Area plantada (hectares);Valor total da safra (Dolares)
58;1908;ON;Trigo sarraceno;25;1345;63300;47100;1570
59;1908;ON;Milho para grao;20;4120;552000;134000;10871
60;1908;ON;Milho para silagem;0.43;26060;2241000;86000;9708
61;1908;ON;Graos mistos;24;1770;301600;170400;7315
62;1908;ON;Aveia;26;1275;1601100;1257900;41425
63;1908;ON;Ervilhas;30;1195;171300;143500;5123
64;1908;ON;Centeiro, todos;28;1020;26200;25700;745
65;1908;ON;Beterraba Sacarina;0.61;26400;60800;2300;370
66;1908;ON;Feno domestico;1.21;3270;4706000;1438000;57160
67;1908;ON;Trigo, tudo;33;1495;491500;328900;16021
68;1908;ON;Trigo, primavera;32;1060;61500;57900;1961
69;1908;ON;Trigo, inverno restante;33;1585;430000;0;14060
70;1908;PP;Cevada;18;1405;498000;354000;8755
71;1908;PP;Linhaca;38;680;38100;56000;1457
72;1908;PP;Aveia;19;1330;1492000;1121000;29049
73;1908;PP;Ervilhas;15;1415;850;600;13
74;1908;PP;Centeiro, todos;25;1285;9000;7000;223
75;1908;PP;Beterraba Sacarina;0.55;18100;38100;2100;208
76;1908;PP;Feno domestico;0.8;4000;320000;80000;2571
77;1908;PP;Trigo, tudo;29;1100;2500000;2277000;72424
78;1908;PEI;Cevada;28;1665;4000;2400;112
79;1908;PEI;Trigo sarraceno;25;1500;2400;1600;60
80;1908;PEI;Milho para silagem;0.44;1667;5000;300;22
81;1908;PEI;Graos mistos;25;2035;12400;6100;310
82;1908;PEI;Aveia;26;1285;78000;60750;2023
83;1908;PEI;Ervilhas;35;1600;400;250;14
84;1908;PEI;Feno domestico;1.07;3900;378000;97000;4049
85;1908;PEI;Trigo, tudo;35;960;10700;11150;370
86;1908;QU;Cevada;21;1065;47200;44400;1012
87;1908;QU;Feijao;63;1445;7000;4850;441
88;1908;QU;Trigo sarraceno;31;1240;45950;37000;1435
89;1908;QU;Milho para grao;34;2105;28600;13600;963
90;1908;QU;Milho para silagem;0.5;22470;400000;17800;2015
91;1908;QU;Graos mistos;34;1230;66300;53900;2269
92;1908;QU;Aveia;35;875;547100;624200;19229
93;1908;QU;Ervilhas;42;875;18350;21000;767
94;1908;QU;Centeiro, todos;34;1010;8300;8200;283
95;1908;QU;Feno domestico;1.21;2690;3151000;1171000;38198
96;1908;QU;Trigo, tudo;42;910;38800;42700;1633
97;1908;SK;Cevada;18;1275;42000;33000;754
98;1908;SK;Linhaca;39;645;29100;45000;1128
99;1908;SK;Aveia;19;1195;450000;376000;8470
100;1908;SK;Centeiro, todos;45;1000;1000;1000;45
101;1908;SK;Feno domestico;0.55;2400;24000;10000;133
102;1908;SK;Trigo, tudo;27;975;946000;970000;25883
103;1909;AB;Cevada;15;1745;131000;75000;2016
104;1909;AB;Linhaca;41;1400;2800;2000;114
105;1909;AB;Aveia;16;1785;592000;332000;9287
106;1909;AB;Centeiro, todos;20;1335;4000;3000;81
107;1909;AB;Beterraba Sacarina;0.55;18100;14500;800;80
108;1909;AB;Feno domestico;0.99;4050;81000;20000;800
109;1909;AB;Trigo, tudo;27;1675;261000;156000;7037
110;1909;BC;Cevada;0;0;0;0;0
111;1909;BC;Aveia;0;0;0;0;0
112;1909;BC;Trigo, tudo;0;0;0;0;0
113;1909;CA;Cevada;21;1600;1206450;755200;25434
114;1909;CA;Feijao;52;1595;35950;22550;1881
115;1909;CA;Trigo sarraceno;27;1485;169900;114350;4554
116;1909;CA;Milho para grao;26;3450;489600;142000;12760
117;1909;CA;Milho para silagem;0.6;23060;2521000;109300;15116
118;1909;CA;Linhaca;49;1005;56300;56000;2761
119;1909;CA;Graos mistos;28;1680;395850;235550;10916
120;1909;CA;Aveia;22;1450;5451400;3764800;122390
121;1909;CA;Ervilhas;32;1395;221650;159150;7124
122;1909;CA;Centeiro, todos;29;1180;43902;37181;1254
123;1909;CA;Beterraba Sacarina;0.64;19500;78000;4000;500
124;1909;CA;Feno domestico;1.23;3240;10776000;3325000;132288
125;1909;CA;Trigo, tudo;31;1445;4537850;3135950;141320
126;1909;MA;Cevada;17;1610;454000;282000;7929
127;1909;MA;Linhaca;52;900;8100;9000;418
128;1909;MA;Aveia;20;1515;852000;563000;17178
129;1909;MA;Ervilhas;17;1300;650;500;11
130;1909;MA;Centeiro, todos;23;1000;2000;2000;46
131;1909;MA;Feno domestico;0.84;3100;155000;50000;1298
132;1909;MA;Trigo, tudo;32;1260;1434000;1136000;45854
133;1909;MP;Cevada;32;1445;10550;7300;334
134;1909;MP;Graos mistos;27;1905;20650;10850;561
135;1909;MP;Aveia;30;1175;251900;214200;7495
136;1909;MP;Feno domestico;1.16;3400;2145000;631000;24952
137;1909;MP;Trigo, tudo;40;1345;35950;26750;1430
138;1909;NB;Cevada;32;1575;2050;1300;65
139;1909;NB;Feijao;99;3070;2150;700;212
140;1909;NB;Trigo sarraceno;25;1550;37600;24250;950
141;1909;NB;Milho para silagem;0.35;36670;11000;300;38
142;1909;NB;Graos mistos;30;1650;3300;2000;98
143;1909;NB;Aveia;31;1060;89050;83850;2801
144;1909;NB;Ervilhas;49;1790;1700;950;84
145;1909;NB;Centeiro, todos;29;1260;102;81;3
146;1909;NB;Feno domestico;1.13;2810;777000;277000;8777
147;1909;NB;Trigo, tudo;41;1350;10750;7950;440
148;1909;NS;Cevada;35;1335;4800;3600;170
149;1909;NS;Feijao;83;1955;2250;1150;186
150;1909;NS;Trigo sarraceno;29;1375;10250;7450;294
151;1909;NS;Milho para silagem;0.94;13330;8000;600;75
152;1909;NS;Graos mistos;31;1805;5150;2850;159
153;1909;NS;Aveia;33;1200;67200;55900;2214
154;1909;NS;Ervilhas;46;2635;1450;550;66
155;1909;NS;Centeiro, todos;30;2000;400;200;12
156;1909;NS;Feno domestico;1.24;3950;1016000;257000;12602
157;1909;NS;Trigo, tudo;43;1335;11000;8250;477
158;1909;ON;Cevada;26;1560;456200;292000;11670
159;1909;ON;Feijao;41;1540;24600;16000;1000
160;1909;ON;Trigo sarraceno;26;1465;76900;52500;1993
161;1909;ON;Milho para grao;26;3590;463000;129000;11837
162;1909;ON;Milho para silagem;0.61;22630;2082000;92000;12691
163;1909;ON;Graos mistos;26;1745;297800;170900;7864
164;1909;ON;Aveia;27;1325;1684000;1271600;45315
165;1909;ON;Ervilhas;31;1425;197000;138100;6008
166;1909;ON;Centeiro, todos;28;1205;27900;23200;770
167;1909;ON;Beterraba Sacarina;0.66;19800;63500;3200;420
168;1909;ON;Feno domestico;1.4;3030;4330000;1431000;60618
169;1909;ON;Trigo, tudo;37;1550;442200;285500;16370
170;1909;ON;Trigo, primavera;36;1170;59200;50500;2115
171;1909;ON;Trigo, inverno restante;37;1630;383000;0;14255
172;1909;PP;Cevada;17;1660;683000;412000;11563
173;1909;PP;Linhaca;49;1005;56300;56000;2761
174;1909;PP;Aveia;17;1740;2860000;1642000;49689
175;1909;PP;Ervilhas;17;1300;650;500;11
176;1909;PP;Centeiro, todos;24;1165;7000;6000;168
177;1909;PP;Beterraba Sacarina;0.55;18100;14500;800;80
178;1909;PP;Feno domestico;0.85;3360;269000;80000;2278
179;1909;PP;Trigo, tudo;30;1440;4014000;2783000;121560
180;1909;PEI;Cevada;27;1540;3700;2400;99
181;1909;PEI;Trigo sarraceno;25;1290;2000;1550;50
182;1909;PEI;Milho para silagem;0.36;3000;9000;300;32
183;1909;PEI;Graos mistos;25;2035;12200;6000;304
184;1909;PEI;Aveia;26;1285;95650;74450;2480
185;1909;PEI;Ervilhas;35;1600;400;250;14
186;1909;PEI;Feno domestico;1.01;3630;352000;97000;3572
187;1909;PEI;Trigo, tudo;36;1345;14200;10550;513
188;1909;QU;Cevada;33;1290;56700;43900;1867
189;1909;QU;Feijao;69;1480;6950;4700;478
190;1909;QU;Trigo sarraceno;29;1510;43150;28600;1267
191;1909;QU;Milho para grao;35;2045;26600;13000;923
192;1909;QU;Milho para silagem;0.55;25530;411000;16100;2279
193;1909;QU;Graos mistos;32;1440;77400;53800;2491
194;1909;QU;Aveia;30;1030;655500;637000;19891
195;1909;QU;Ervilhas;46;1090;20450;18800;941
196;1909;QU;Centeiro, todos;35;1105;8500;7700;301
197;1909;QU;Feno domestico;1.1;3410;4032000;1183000;44440
198;1909;QU;Trigo, tudo;43;1125;45700;40700;1960
199;1909;SK;Cevada;17;1780;98000;55000;1618
200;1909;SK;Linhaca;49;1010;45400;45000;2229
201;1909;SK;Aveia;16;1895;1416000;747000;23224
202;1909;SK;Centeiro, todos;41;1000;1000;1000;41
203;1909;SK;Feno domestico;0.55;3300;33000;10000;180
204;1909;SK;Trigo, tudo;30;1555;2319000;1491000;68669
205;1910;AB;Cevada;20;1100;54000;49000;1075
206;1910;AB;Milho para silagem;0.9;4000;2000;500;18
207;1910;AB;Linhaca;82;155;2000;13000;163
208;1910;AB;Graos mistos;21;1145;800;700;17
209;1910;AB;Aveia;22;825;261000;317000;5749
210;1910;AB;Ervilhas;40;1000;100;100;4
211;1910;AB;Centeiro, todos;20;1000;3000;3000;59
212;1910;AB;Beterraba Sacarina;0.55;13200;5300;400;29
213;1910;AB;Feno domestico;1.12;1970;118000;60000;1321
214;1910;AB;Trigo, tudo;27;695;247000;356000;6676
215;1910;BC;Cevada;39;1375;1100;800;43
216;1910;BC;Feijao;87;1500;150;100;13
217;1910;BC;Milho para silagem;0.6;15000;3000;200;18
218;1910;BC;Graos mistos;44;1250;250;200;11
219;1910;BC;Aveia;37;2030;27200;13400;1005
220;1910;BC;Ervilhas;37;2000;1200;600;44
221;1910;BC;Centeiro, todos;30;1000;200;200;6
222;1910;BC;Feno domestico;2;3600;198000;55000;3963
223;1910;BC;Trigo, tudo;40;1475;5600;3800;224
224;1910;CA;Cevada;23;1215;628550;518350;14654
225;1910;CA;Feijao;63;1210;22550;18600;1417
226;1910;CA;Trigo sarraceno;26;1070;156800;146450;4095
227;1910;CA;Milho para grao;21;3065;363600;118600;7664
228;1910;CA;Milho para silagem;0.36;20630;2456000;119050;8775
229;1910;CA;Linhaca;82;455;107850;236100;8870
230;1910;CA;Graos mistos;24;1545;267150;172750;6308
231;1910;CA;Aveia;23;1080;3785150;3502600;86796
232;1910;CA;Ervilhas;32;910;130450;143650;4196
233;1910;CA;Centeiro, todos;26;850;39900;46900;1038
234;1910;CA;Beterraba Sacarina;0.64;24700;170500;6900;1096
235;1910;CA;Feno domestico;0.96;2820;9545000;3384000;91289
236;1910;CA;Trigo, tudo;29;1000;3595200;3587950;104817
237;1910;MA;Cevada;21;845;142000;168000;2925
238;1910;MA;Milho para silagem;0.72;6840;13000;1900;94
239;1910;MA;Linhaca;86;320;4500;14000;387
240;1910;MA;Graos mistos;20;1000;200;200;4
241;1910;MA;Aveia;21;955;468000;489000;9903
242;1910;MA;Ervilhas;40;1500;150;100;6
243;1910;MA;Centeiro, todos;20;1000;1000;1000;20
244;1910;MA;Feno domestico;0.89;1900;114000;60000;1020
245;1910;MA;Trigo, tudo;31;830;929000;1117000;28584
246;1910;MP;Cevada;33;1305;6850;5250;224
247;1910;MP;Graos mistos;25;1670;6600;3950;167
248;1910;MP;Aveia;27;1090;211650;193800;5742
249;1910;MP;Feno domestico;0.91;2670;1496000;561000;13597
250;1910;MP;Trigo, tudo;38;1155;25300;21950;953
251;1910;NB;Cevada;34;1190;1250;1050;42
252;1910;NB;Feijao;73;1500;150;100;11
253;1910;NB;Trigo sarraceno;24;1060;25050;23650;609
254;1910;NB;Milho para silagem;0.45;20000;2000;100;9
255;1910;NB;Graos mistos;30;1335;400;300;12
256;1910;NB;Aveia;27;1050;85400;81400;2332
257;1910;NB;Ervilhas;40;1335;200;150;8
258;1910;NB;Centeiro, todos;0;1000;0;0;0
259;1910;NB;Feno domestico;0.83;2380;607000;255000;5035
260;1910;NB;Trigo, tudo;39;1030;5550;5400;218
261;1910;NS;Cevada;37;1410;3100;2200;114
262;1910;NS;Feijao;80;1165;350;300;28
263;1910;NS;Trigo sarraceno;29;1170;4500;3850;132
264;1910;NS;Milho para silagem;0.42;20000;5000;250;21
265;1910;NS;Graos mistos;31;1685;1600;950;49
266;1910;NS;Aveia;32;1175;45850;38950;1466
267;1910;NS;Ervilhas;60;1000;50;50;3
268;1910;NS;Centeiro, todos;50;500;100;200;5
269;1910;NS;Feno domestico;0.99;3000;657000;219000;6533
270;1910;NS;Trigo, tudo;38;1230;6100;4950;230
271;1910;ON;Cevada;24;1505;306700;203600;7414
272;1910;ON;Feijao;61;1205;19800;16400;1214
273;1910;ON;Trigo sarraceno;23;1070;72550;67700;1699
274;1910;ON;Milho para grao;20;3145;349000;111000;7146
275;1910;ON;Milho para silagem;0.34;21050;2084000;99000;7109
276;1910;ON;Linhaca;65;590;2100;3550;136
277;1910;ON;Graos mistos;23;1650;216300;130900;4889
278;1910;ON;Aveia;23;1195;1387000;1162000;31623
279;1910;ON;Ervilhas;31;900;117350;130300;3655
280;1910;ON;Centeiro, todos;26;835;31300;37500;807
281;1910;ON;Beterraba Sacarina;0.65;25400;165200;6500;1067
282;1910;ON;Feno domestico;0.96;3110;4103000;1320000;39526
283;1910;ON;Trigo, tudo;32;1530;539900;352700;17090
284;1910;ON;Trigo, primavera;32;1205;53900;44700;1702
285;1910;ON;Trigo, inverno restante;32;1580;486000;0;15362
286;1910;PP;Cevada;20;980;263000;269000;5300
287;1910;PP;Milho para silagem;0.74;5930;16000;2700;118
288;1910;PP;Linhaca;83;455;105400;232000;8709
289;1910;PP;Graos mistos;22;1090;1200;1100;26
290;1910;PP;Aveia;20;1045;1638000;1570000;33275
291;1910;PP;Ervilhas;37;1165;350;300;13
292;1910;PP;Centeiro, todos;19;1000;4500;4500;86
293;1910;PP;Beterraba Sacarina;0.55;13200;5300;400;29
294;1910;PP;Feno domestico;0.98;1950;273000;140000;2663
295;1910;PP;Trigo, tudo;29;940;2999000;3184000;85474
296;1910;PEI;Cevada;27;1250;2500;2000;68
297;1910;PEI;Trigo sarraceno;27;1000;950;950;26
298;1910;PEI;Milho para silagem;0.35;2000;2000;100;7
299;1910;PEI;Graos mistos;23;1705;4600;2700;105
300;1910;PEI;Aveia;24;1095;80400;73450;1943
301;1910;PEI;Ervilhas;20;500;50;0;1
302;1910;PEI;Feno domestico;0.87;2670;232000;87000;2029
303;1910;PEI;Trigo, tudo;37;1175;13650;11600;505
304;1910;QU;Cevada;33;1280;50900;39700;1673
305;1910;QU;Feijao;72;1235;2100;1700;151
306;1910;QU;Trigo sarraceno;30;1070;53750;50300;1629
307;1910;QU;Milho para grao;35;1920;14600;7600;518
308;1910;QU;Milho para silagem;0.43;20600;344000;16700;1494
309;1910;QU;Linhaca;71;635;350;550;25
310;1910;QU;Graos mistos;28;1170;42800;36600;1216
311;1910;QU;Aveia;29;925;521300;563400;15151
312;1910;QU;Ervilhas;42;920;11250;12250;472
313;1910;QU;Centeiro, todos;35;845;3800;4500;133
314;1910;QU;Feno domestico;0.91;2660;3475000;1308000;31539
315;1910;QU;Trigo, tudo;42;995;25400;25500;1076
316;1910;SK;Cevada;19;1290;67000;52000;1300
317;1910;SK;Milho para silagem;0.6;333;1000;300;6
318;1910;SK;Linhaca;83;480;98900;205000;8160
319;1910;SK;Graos mistos;25;1000;200;200;5
320;1910;SK;Aveia;19;1190;909000;764000;17624
321;1910;SK;Ervilhas;30;1000;100;100;3
322;1910;SK;Centeiro, todos;12;500;500;500;6
323;1910;SK;Feno domestico;0.79;2050;41000;20000;322
324;1910;SK;Trigo, tudo;28;1065;1823000;1711000;50213
325;1911;AB;Cevada;19;1440;95000;66000;1783
326;1911;AB;Milho para silagem;1.1;3330;1000;300;11
327;1911;AB;Linhaca;47;660;28300;43000;1339
328;1911;AB;Graos mistos;21;1545;1700;1100;35
329;1911;AB;Aveia;18;1840;910000;494000;16516
330;1911;AB;Ervilhas;45;1000;200;200;9
331;1911;AB;Centeiro, todos;24;1665;10000;6000;240
332;1911;AB;Beterraba Sacarina;0.55;18100;12700;700;70
333;1911;AB;Feno domestico;1.35;3770;264000;70000;3557
334;1911;AB;Trigo, tudo;23;1500;995000;664000;22516
335;1911;BC;Cevada;32;2275;2500;1100;81
336;1911;BC;Feijao;95;1335;200;150;19
337;1911;BC;Milho para silagem;0.83;15000;3000;200;25
338;1911;BC;Graos mistos;35;1500;1350;900;47
339;1911;BC;Aveia;37;2005;36700;18300;1355
340;1911;BC;Ervilhas;53;2000;1200;600;63
341;1911;BC;Centeiro, todos;0;0;0;0;0
342;1911;BC;Feno domestico;1.95;5400;308000;57000;5996
343;1911;BC;Trigo, tudo;36;1910;10500;5500;383
344;1911;CA;Cevada;26;1575;968700;615550;24731
345;1911;CA;Feijao;71;1290;27600;21400;1956
346;1911;CA;Trigo sarraceno;30;1220;184350;151100;5443
347;1911;CA;Milho para grao;25;3730;487400;130700;12360
348;1911;CA;Milho para silagem;0.54;20270;2433000;120050;13063
349;1911;CA;Linhaca;59;720;392200;546050;23179
350;1911;CA;Graos mistos;30;1505;320550;212650;9528
351;1911;CA;Aveia;24;1445;5640100;3901300;133256
352;1911;CA;Ervilhas;38;1065;127000;119400;4770
353;1911;CA;Centeiro, todos;30;1200;64325;53600;1906
354;1911;CA;Beterraba Sacarina;0.73;19100;158800;8300;1154
355;1911;CA;Feno domestico;1.28;3660;13015000;3554000;166806
356;1911;CA;Trigo, tudo;24;1400;6293500;4490250;148318
357;1911;MA;Cevada;22;1800;326000;181000;7184
358;1911;MA;Milho para silagem;0.99;17250;69000;4000;684
359;1911;MA;Linhaca;69;915;29200;32000;2022
360;1911;MA;Graos mistos;22;1835;1100;600;24
361;1911;MA;Aveia;21;1750;925000;529000;19204
362;1911;MA;Ervilhas;44;1250;250;200;11
363;1911;MA;Centeiro, todos;24;1500;3000;2000;73
364;1911;MA;Feno domestico;1.05;3950;237000;60000;2500
365;1911;MA;Trigo, tudo;25;1365;1710000;1252000;42089
366;1911;MP;Cevada;29;1410;7400;5250;215
367;1911;MP;Graos mistos;27;1665;8900;5350;242
368;1911;MP;Aveia;31;1115;220700;197700;6865
369;1911;MP;Feno domestico;1.11;3420;1922000;562000;21328
370;1911;MP;Trigo, tudo;38;1345;31800;23650;1209
371;1911;NB;Cevada;19;1545;1700;1100;32
372;1911;NB;Feijao;90;1335;200;150;18
373;1911;NB;Trigo sarraceno;26;1420;37400;26350;979
374;1911;NB;Milho para silagem;0.35;20000;2000;100;7
375;1911;NB;Graos mistos;29;1555;700;450;20
376;1911;NB;Aveia;32;1100;92550;84000;3000
377;1911;NB;Ervilhas;53;1500;450;300;24
378;1911;NB;Centeiro, todos;40;1000;25;0;1
379;1911;NB;Feno domestico;0.9;3180;818000;257000;7333
380;1911;NB;Trigo, tudo;39;1380;7800;5650;306
381;1911;NS;Cevada;35;1380;3100;2250;109
382;1911;NS;Feijao;78;1570;550;350;43
383;1911;NS;Trigo sarraceno;30;1165;5600;4800;167
384;1911;NS;Milho para silagem;0.68;16000;4000;250;27
385;1911;NS;Graos mistos;33;1445;2600;1800;86
386;1911;NS;Aveia;34;1110;45150;40600;1551
387;1911;NS;Ervilhas;47;1500;150;100;7
388;1911;NS;Centeiro, todos;35;1000;200;200;7
389;1911;NS;Feno domestico;1.3;3820;830000;217000;10770
390;1911;NS;Trigo, tudo;40;1415;7650;5400;309
391;1911;ON;Cevada;32;1420;298800;210400;9608
392;1911;ON;Feijao;70;1300;23800;18300;1671
393;1911;ON;Trigo sarraceno;28;1150;83200;72300;2331
394;1911;ON;Milho para grao;25;3875;469000;121000;11629
395;1911;ON;Milho para silagem;0.52;20590;2038000;99000;10628
396;1911;ON;Linhaca;75;885;3100;3500;232
397;1911;ON;Graos mistos;29;1565;246300;157500;7121
398;1911;ON;Aveia;29;1150;1306900;1135600;38134
399;1911;ON;Ervilhas;36;1055;110400;104550;3935
400;1911;ON;Centeiro, todos;31;1120;44000;39200;1351
401;1911;ON;Beterraba Sacarina;0.74;19200;146100;7600;1084
402;1911;ON;Feno domestico;1.53;3100;4421000;1425000;67731
403;1911;ON;Trigo, tudo;32;1380;537000;389400;17231
404;1911;ON;Trigo, primavera;33;1165;61000;52400;2016
405;1911;ON;Trigo, inverno restante;32;1410;476000;0;15215
406;1911;PP;Cevada;21;1705;610000;358000;13036
407;1911;PP;Milho para silagem;0.97;15920;78000;4900;754
408;1911;PP;Linhaca;59;715;388700;542000;22920
409;1911;PP;Graos mistos;23;1640;4100;2500;94
410;1911;PP;Aveia;19;1775;3494000;1967000;66907
411;1911;PP;Ervilhas;45;1085;650;600;29
412;1911;PP;Centeiro, todos;23;1665;15000;9000;345
413;1911;PP;Beterraba Sacarina;0.55;18100;12700;700;70
414;1911;PP;Feno domestico;1.19;3790;568000;150000;6781
415;1911;PP;Trigo, tudo;23;1405;5680000;4043000;128012
416;1911;PEI;Cevada;28;1370;2600;1900;74
417;1911;PEI;Trigo sarraceno;28;1435;1650;1150;46
418;1911;PEI;Milho para silagem;0.3;3000;3000;100;9
419;1911;PEI;Graos mistos;24;1805;5600;3100;136
420;1911;PEI;Aveia;28;1135;83000;73100;2314
421;1911;PEI;Ervilhas;40;1000;50;50;2
422;1911;PEI;Feno domestico;1.18;3110;274000;88000;3225
423;1911;PEI;Trigo, tudo;36;1300;16350;12600;594
424;1911;QU;Cevada;36;1225;50000;40800;1791
425;1911;QU;Feijao;72;1165;2850;2450;205
426;1911;QU;Trigo sarraceno;34;1215;56500;46500;1920
427;1911;QU;Milho para grao;40;1895;18400;9700;731
428;1911;QU;Milho para silagem;0.53;19680;305000;15500;1613
429;1911;QU;Linhaca;68;725;400;550;27
430;1911;QU;Graos mistos;34;1290;59900;46400;2024
431;1911;QU;Aveia;34;1000;581800;582700;19995
432;1911;QU;Ervilhas;50;1070;14100;13200;710
433;1911;QU;Centeiro, todos;40;980;5100;5200;203
434;1911;QU;Feno domestico;1.12;4260;5796000;1360000;64970
435;1911;QU;Trigo, tudo;43;1190;34200;28700;1483
436;1911;SK;Cevada;22;1705;189000;111000;4069
437;1911;SK;Milho para silagem;0.74;1333;8000;600;59
438;1911;SK;Linhaca;59;710;331200;467000;19559
439;1911;SK;Graos mistos;27;1625;1300;800;35
440;1911;SK;Aveia;19;1755;1659000;944000;31187
441;1911;SK;Ervilhas;45;1000;200;200;9
442;1911;SK;Centeiro, todos;16;2000;2000;1000;32
443;1911;SK;Feno domestico;1.08;3350;67000;20000;724
444;1911;SK;Trigo, tudo;21;1400;2975000;2127000;63407
445;1912;AB;Cevada;15;1775;135000;76000;2039
446;1912;AB;Milho para silagem;1;5000;1000;200;10
447;1912;AB;Linhaca;36;810;43000;53000;1557
448;1912;AB;Graos mistos;20;1820;2000;1100;39
449;1912;AB;Aveia;16;1765;1043000;591000;16231
450;1912;AB;Ervilhas;32;1250;250;200;8
451;1912;AB;Centeiro, todos;21;1665;10000;6000;211
452;1912;AB;Beterraba Sacarina;0.57;14700;11800;800;67
453;1912;AB;Feno domestico;1.01;4090;286000;70000;2900
454;1912;AB;Trigo, tudo;20;1455;934000;643000;18459
455;1912;BC;Cevada;30;2275;2500;1100;75
456;1912;BC;Feijao;67;1000;150;150;10
457;1912;BC;Milho para silagem;0.9;15000;3000;200;27
458;1912;BC;Graos mistos;32;1800;1800;1000;57
459;1912;BC;Aveia;33;2125;38700;18200;1278
460;1912;BC;Ervilhas;51;1915;1150;600;59
461;1912;BC;Centeiro, todos;0;0;0;0;0
462;1912;BC;Feno domestico;1.92;5310;313000;59000;6021
463;1912;BC;Trigo, tudo;36;2135;10900;5100;392
464;1912;CA;Cevada;21;1680;1076500;640400;22354
465;1912;CA;Feijao;80;1180;25050;21200;2008
466;1912;CA;Trigo sarraceno;29;1420;229000;161350;6544
467;1912;CA;Milho para grao;24;3565;430100;120700;10534
468;1912;CA;Milho para silagem;0.54;22660;2756000;121650;14977
469;1912;CA;Linhaca;36;810;663800;817000;23608
470;1912;CA;Graos mistos;29;1750;351000;200800;10194
471;1912;CA;Aveia;21;1500;6039750;4032900;126304
472;1912;CA;Ervilhas;46;1010;106450;105200;4944
473;1912;CA;Centeiro, todos;28;1210;62000;51200;1755
474;1912;CA;Beterraba Sacarina;0.55;23700;182400;7700;1005
475;1912;CA;Feno domestico;1.22;3330;11251000;3383000;137761
476;1912;CA;Trigo, tudo;23;1370;6101350;4449450;139090
